"filename", "language", "XML", "C#", "JSON", "Solution File", "YAML", "EditorConfig", "Properties", "SQL", "comment", "blank", "total"
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/obj/Debug/net8.0/.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/obj/Debug/net8.0/MusicalScoresHandler.Repository.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 9, 5, 23
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/obj/Debug/net8.0/MusicalScoresHandler.Repository.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/obj/Debug/net8.0/MusicalScoresHandler.Repository.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 1, 1, 9
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/obj/Debug/net8.0/MusicalScoresHandler.Repository.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/obj/MusicalScoresHandler.Repository.csproj.nuget.dgspec.json", "JSON", 0, 0, 220, 0, 0, 0, 0, 0, 0, 0, 220
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/obj/MusicalScoresHandler.Repository.csproj.nuget.g.props", "XML", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/obj/MusicalScoresHandler.Repository.csproj.nuget.g.targets", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/obj/project.assets.json", "JSON", 0, 0, 1439, 0, 0, 0, 0, 0, 0, 0, 1439
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Shared/CopyrightDto.cs", "C#", 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
